customer_id,name,city,email,phone_no,address,pin_code
CA-2016-000001,Mrs. Courtney Jackson,South Ricardohaven,hernandezyvonne@example.org,274-884-5892x80,"031 Patricia Row Apt. 542, North Leonland, MH 32996",190281
CA-2016-000002,Jennifer Black,Brownburgh,cortezcharles@example.com,001-595-440-164,"6205 Schmidt Islands, Kirkfort, OH 98502",380149
CA-2016-000003,Carl Nelson,Port Dorothy,kathleen78@example.com,001-622-849-196,"6946 Allison Hollow Apt. 431, North Daniel, CT 13126",122268
CA-2016-000004,Eric Jackson,Port Roy,mcrawford@example.org,001-787-570-904,"52066 Terrence Place Suite 016, East Maureen, WV 50156",688006
CA-2016-000005,Felicia Petersen,Whitebury,hmendoza@example.com,643-762-9436x78,"1759 Johnson Street Suite 304, New Thomas, WY 06369",384969
CA-2016-000006,Matthew Ramos,Adrienneshire,dana40@example.com,6894751585,"0102 Ashley Alley, Terryfurt, IN 41910",110323
CA-2016-000007,Evan Gill,East Kelly,paul07@example.com,209-482-7348x46,"3737 Walker Ports Suite 907, South Sarah, NV 90402",455724
CA-2016-000008,Carl Gibson,New Chelseatown,paul98@example.com,881-786-7976,"22497 Colon Pike, South Maryview, NJ 79462",549714
CA-2016-000009,Katherine Williams,Monroemouth,erin19@example.com,822.321.9554,"717 Bradley Wall, Douglasborough, WV 83862",553354
CA-2016-000010,Ivan Lee,Port Stephenfurt,fmoyer@example.com,4863921397,"78258 Susan Burg, Jacobborough, NH 18915",932033
CA-2016-000011,Stephanie Keith,Kimberlyview,keithperry@example.com,(276)682-0121x9,"65416 Scott Ranch, Sonyamouth, WA 37700",196242
CA-2016-000012,Jason Aguirre,Kanebury,jonathanruiz@example.com,001-329-536-954,"077 Gomez Hollow Apt. 908, West Brendaborough, CO 07975",109720
CA-2016-000013,Sally Robinson,Mcintoshstad,townsendderek@example.com,001-637-474-302,"883 Allen Ports Suite 452, Sarashire, UT 91784",809123
CA-2016-000014,Gregory Lara,East Jameston,agraves@example.net,001-857-217-302,"Unit 6282 Box 7702, DPO AA 50065",101401
CA-2016-000015,Charles Davis,East Douglas,shellycamacho@example.net,452.478.2591x49,"943 Williams Shoals, Meyersport, RI 56137",491104
CA-2016-000016,Brittany Ramos,North Kendraland,eric62@example.net,(838)764-6994,"951 Madeline Burgs Apt. 136, Port Kylechester, LA 36542",560009
CA-2016-000017,Richard Young,South Mary,karen15@example.org,001-647-842-085,"33288 Johnson Islands, South Matthewmouth, MN 01117",810322
CA-2016-000018,Nicole Rodriguez,East Tara,patrickwalker@example.com,(853)698-5628x2,"30213 Ward Road, Port Melindabury, IA 22269",577214
CA-2016-000019,Raymond Mccarthy,Carolynburgh,yhuffman@example.net,001-584-807-429,"30385 Kathryn Forks Suite 413, Johnsonchester, NV 47333",912354
CA-2016-000020,Robert Baker,New Gary,christinasmith@example.com,5128402014,"85381 Harris Skyway, Port Markburgh, MN 05931",901606
CA-2016-000021,Bradley Johnston,Morganberg,gshort@example.com,251-960-9028,"1789 Karen Mill, Duaneland, KS 05116",131029
CA-2016-000022,Brandon Ellison,New Markburgh,alejandra73@example.net,+1-225-617-6408,"1412 Sheila Stravenue Apt. 590, Coxtown, AK 75356",516511
